Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
05/20/2019,164.44,164.57,160.02,160.65,160.65,3.34138e+07,-0.0526037,-0.0526037,0.019416,-0.019416, 0.019416,-0.0338448,-0.019416, 62.5933,140.835, 0, 0, 167.916, 0, 0, 41621,37.3411,41621, 0, 49.059, 157.989, -131.639, 31.1104, 56451.2, 35303.4
05/21/2019,163.16,165.59,162.52,163.43,163.43,2.20061e+07,0.0173047,0.0173047,0.020879,-0.020879, 0.020879,0,0.0173047, 62.5933,140.835, 0, 0, 162.034, 0, 0, 41665,43.9276,41665, 0, 49.059, 157.989, -148.796, 35.3179, 59266.5, 34948.8
05/22/2019,162.41,162.82,158.07,158.83,158.83,2.58312e+07,-0.0281466,-0.0281466,0.0211723,-0.0211723, 0.0211723,-0.00712511,-0.0211723, 62.5933,140.835, 0, 0, 161.691, 0, 0, 41708.9,43.8991,41708.9, 0, 49.059, 157.989, -120.245, 36.1109, 54702.8, 35604.2
05/23/2019,155.45,158.48,154.41,156,156,2.68919e+07,-0.0178178,-0.0178178,0.0215588,-0.0215588, 0.0215588,0,-0.0178178, 62.5933,140.835, 0, 4, 157.409, 4, 0, 41123.9,44.7055,41747.9, 0, 49.059, 157.989, -102.267, 36.5804, 51909.4, 35955.7
05/24/2019,157.615,158.43,154.9,155,155,2.14897e+07,-0.00641026,-0.00641026,0.021681,-0.021681, 0.021681,0,-0.00641026, 62.5933,140.835, 0, 3, 155.499, 7, 0, 40702.4,44.9237,41787.4, 0, 49.059, 157.989, -95.8361, 36.5473, 50945.9, 36091.3
05/28/2019,156.4,157.07,153.22,154.81,154.81,3.8603e+07,-0.00122582,-0.00122582,0.0216809,-0.0216809, 0.0216809,0,-0.00122582, 62.5933,140.835, 0, 2, 154.905, 9, 0, 40437.4,44.8682,41830.7, 0, 49.059, 157.989, -94.6096, 36.4073, 50792.3, 36145.8
05/29/2019,153.58,154.385,150.71,152.48,152.48,3.00731e+07,-0.0150507,-0.0150507,0.0211001,-0.0211001, 0.0211001,0,-0.0150507, 62.5933,140.835, 0, 9, 153.641, 18, 0, 39096.5,41.8571,41841.2, 0, 49.059, 157.989, -79.4444, 34.2015, 48496.6, 36382.9
05/30/2019,152.36,153.37,150.25,151.07,151.07,1.73447e+07,-0.00924704,-0.00924704,0.0206586,-0.0206586, 0.0206586,0,-0.00924704, 62.5933,140.835, 0, 2, 151.773, 20, 0, 38832.7,39.7528,41854.1, 0, 49.059, 157.989, -70.1544, 32.3869, 47119, 36520.8
05/31/2019,149.63,150.68,147.95,149.26,149.26,2.68812e+07,-0.0119813,-0.0119813,0.0202923,-0.0202923, 0.0202923,0,-0.0119813, 62.5933,140.835, 0, 17, 150.162, 37, 0, 36317.9,37.8958,41840.5, 0, 49.059, 157.989, -58.1007, 30.9166, 45339.9, 36667.8
06/03/2019,149.6,151.77,148.845,149.91,149.91,2.52544e+07,0.00435488,0.00435488,0.0200791,-0.0200791, 0.0200791,0,0.00435488, 62.5933,140.835, 0, -6, 149.585, 31, 0, 37252.6,37.2655,41899.8, 0, 49.059, 157.989, -62.4462, 30.1542, 46020, 36658.7
